ID,チェック内容,重篤度
1321,"ログイン・セッションに有効期限が設定されていない。または、以下のいずれかを満たしている：

*  ログイン時などに、ユーザーが有効期限の設定を解除することができる。又は、
*  ログイン時などに、ユーザーが少なくともデフォルト設定の10倍を超える、有効期限の大幅な調整をすることができる。又は、
*  時間切れになる前にユーザーに警告し、かつ少なくとも20秒間の猶予をもって、例えば「スペースキーを押す」などの簡単な操作により、ユーザーが有効期限を10回以上延長することができる。又は、
*  有効期限が必要不可欠なもので、有効期限を延長することがコンテンツの動作を無効にすることになる。又は、
*  有効期限が20時間よりも長い。",[MAJOR]
1381,"ログイン・セッションがタイムアウトした場合、再認証後にデータを失うことなくユーザーが操作を継続できるようになっている。",[NORMAL]
1421,3秒以上の長さの音声を含む、自動再生されるコンテンツがない。,[CRITICAL]
1451,ユーザーの注意を阻害するような自動再生される動画やアニメーションがない。,[MAJOR]
1481,"音声・映像コンテンツは、そのコンテンツがなくても不足なく情報が伝わるような内容で、そのコンテンツがテキスト情報の代替もしくは補助的な位置づけであることが明示されている。",[MAJOR]
1511,音声を含むコンテンツには、同期したキャプションが提供されている。,[NORMAL]
1541,"動画コンテンツは、映像を見られない視覚障害者も、サービスの利用や必要な情報の取得を支障なくできるようになっている。",[NORMAL]
1542,すべての動画は、映像を見られない視覚障害者にも理解できるようになっている。,[NORMAL]
1571,"映像がない音声のみのコンテンツについて、音声を書き起こしたテキストが提供されている。",[NORMAL]
1601,音声を含むコンテンツには同期した手話通訳が提供されている。,[MINOR]
1631,音声を含むコンテンツにおいて、背景音は適切な音量になっている。,[NORMAL]
